iter	RMSE
0	11.00283299
1	10.84108693
2	10.83456062
3	10.79997727
4	10.77625908
5	10.7591119
6	10.65432459
7	10.65338968
8	10.6459213
9	10.64559398
10	10.64307172
11	10.48920107
12	10.48228008
13	10.48073552
14	10.41156396
15	10.41063835
16	10.40450132
17	10.40148346
18	10.35678041
19	10.34632213
20	10.34552507
21	10.3445425
22	10.34265856
23	10.34217273
24	10.22502178
25	10.22368064
26	10.1777416
27	10.17771994
28	10.16674636
29	10.16661378
30	10.13394917
31	10.12182736
32	10.12009482
33	10.11983905
34	10.11974604
35	10.11957804
36	10.11514887
37	10.11478912
38	10.1142639
39	10.11311232
40	10.11278691
41	10.11250558
42	10.11221588
43	10.11123541
44	10.10783805
45	10.1077717
46	10.10765335
47	10.1075403
48	10.10723914
49	10.10085943
50	10.09946233
51	10.0990683
52	10.09870272
53	10.06439744
54	10.06227975
55	10.06214607
56	10.06024456
57	10.0592132
58	10.0575971
59	10.05277775
60	10.05077057
61	10.05059759
62	10.04960956
63	10.04941722
64	10.04570168
65	9.989983275
66	9.989577255
67	9.989441762
68	9.987351321
69	9.987188861
70	9.986962545
71	9.982298186
72	9.981392192
73	9.967050691
74	9.966765092
75	9.966380759
76	9.966081518
77	9.964244134
78	9.899275837
79	9.890174799
80	9.889176854
81	9.87465265
82	9.873288774
83	9.872532884
84	9.837884376
85	9.814786172
86	9.807354401
87	9.807266594
88	9.800870795
89	9.799708582
90	9.798746276
91	9.797967978
92	9.797371354
93	9.795073098
94	9.78035643
95	9.772926205
96	9.767700648
97	9.767451109
98	9.767101677
99	9.761804736
100	9.761252882
101	9.760419281
102	9.759805061
103	9.755390704
104	9.754894183
105	9.754571713
106	9.754355685
107	9.729972099
108	9.729793823
109	9.729274867
110	9.729167628
111	9.729103378
112	9.713354895
113	9.696631016
114	9.692975633
115	9.665260736
116	9.643180011
117	9.638052649
118	9.637600101
119	9.63732603
120	9.636925802
121	9.63677161
122	9.636523497
123	9.635605577
124	9.630541303
125	9.630416538
126	9.630321366
127	9.630179107
128	9.626378846
129	9.624669344
130	9.624591447
131	9.624152017
132	9.623888049
133	9.620847103
134	9.611326682
135	9.61086228
136	9.608504231
137	9.596050834
138	9.595985226
139	9.595863898
140	9.595463095
141	9.593539313
142	9.591324571
143	9.591187419
144	9.589266345
145	9.589223735
146	9.588837035
147	9.587124399
148	9.586588234
149	9.58630665
150	9.585635153
151	9.585614402
152	9.583231316
153	9.582507088
154	9.582001203
155	9.581957997
156	9.573749029
157	9.573272742
158	9.572560315
159	9.571317359
160	9.569606617
161	9.569514223
162	9.568063551
163	9.566846306
164	9.565476389
165	9.565447926
166	9.56479264
167	9.564597399
168	9.563988088
169	9.554019997
170	9.55390305
171	9.552748306
172	9.552685157
173	9.551703353
174	9.55081033
175	9.550745933
176	9.55002858
177	9.549368111
178	9.549191137
179	9.549151738
180	9.548989113
181	9.54886671
182	9.548848757
183	9.548706308
184	9.548662146
185	9.548168563
186	9.548058321
187	9.547879882
188	9.547842082
189	9.547805442
190	9.547767713
191	9.545747668
192	9.541096517
193	9.540995194
194	9.54096369
195	9.540841837
196	9.537139719
197	9.537041376
198	9.536695251
199	9.536668387
200	9.536292383
201	9.535954856
202	9.535803772
203	9.535782117
204	9.534915715
205	9.534793119
206	9.534370287
207	9.534358921
208	9.534161338
209	9.533567254
210	9.533160391
211	9.533050774
212	9.532807182
213	9.532733217
214	9.532715398
215	9.532378833
216	9.53235537
217	9.532107914
218	9.531132338
219	9.530806827
220	9.530686324
221	9.530673964
222	9.524785744
223	9.524428601
224	9.524090137
225	9.523738826
226	9.523720703
227	9.523501866
228	9.523442008
229	9.523225182
230	9.523209773
231	9.523034433
232	9.523020409
233	9.522694857
234	9.522084127
235	9.522080702
236	9.522024243
237	9.521967709
238	9.521927613
239	9.521650663
240	9.521502412
241	9.521456294
242	9.521321403
243	9.521285155
244	9.52120431
245	9.520501158
246	9.52029824
247	9.519802896
248	9.519662875
249	9.519625954
250	9.519443193
251	9.519299603
252	9.519115594
253	9.518985651
254	9.518643192
255	9.518634191
256	9.518348761
257	9.518095297
258	9.518086937
259	9.518061828
260	9.518015107
261	9.517777071
262	9.517728193
263	9.517622201
264	9.516941228
265	9.516608362
266	9.516083666
267	9.516048772
268	9.515896636
269	9.515851616
270	9.515795225
271	9.515694371
272	9.515680906
273	9.515265107
274	9.515245608
275	9.515231148
276	9.514143337
277	9.513909616
278	9.513768794
279	9.51376148
280	9.513747739
281	9.513630879
282	9.513512964
283	9.513495583
284	9.513415224
285	9.513369223
286	9.513332777
287	9.513177749
288	9.513165765
289	9.512970913
290	9.512948742
291	9.512819986
292	9.512696867
293	9.512619088
294	9.512575537
295	9.512562065
296	9.512385571
297	9.511981877
298	9.511786202
299	9.511722296
