iter	Passed	Remaining
0	147	44243
1	149	22316
2	151	15010
3	153	11393
4	156	9221
5	157	7740
6	159	6687
7	161	5900
8	163	5289
9	164	4784
10	166	4384
11	168	4050
12	171	3781
13	172	3532
14	174	3319
15	176	3127
16	177	2963
17	179	2816
18	181	2686
19	183	2570
20	185	2465
21	188	2380
22	190	2289
23	191	2206
24	193	2127
25	195	2056
26	196	1989
27	198	1926
28	200	1871
29	201	1815
30	203	1764
31	205	1716
32	206	1672
33	208	1630
34	209	1589
35	211	1550
36	212	1512
37	214	1477
38	215	1444
39	218	1418
40	219	1387
41	221	1359
42	222	1332
43	224	1307
44	226	1281
45	227	1258
46	229	1234
47	231	1212
48	234	1199
49	235	1179
50	237	1160
51	239	1141
52	240	1122
53	242	1104
54	243	1086
55	245	1069
56	247	1055
57	249	1040
58	251	1027
59	253	1015
60	255	1001
61	257	986
62	258	972
63	260	959
64	261	947
65	264	937
66	266	926
67	267	913
68	269	901
69	271	890
70	272	879
71	274	868
72	275	857
73	277	846
74	279	838
75	281	830
76	283	820
77	285	811
78	286	801
79	288	792
80	289	783
81	291	774
82	292	765
83	294	757
84	296	749
85	297	741
86	299	733
87	301	725
88	302	717
89	304	709
90	305	701
91	306	693
92	308	686
93	310	680
94	312	674
95	314	667
96	315	660
97	317	654
98	318	647
99	320	640
100	321	634
101	323	628
102	325	622
103	327	617
104	329	611
105	330	605
106	332	599
107	334	594
108	335	588
109	337	582
110	339	577
111	340	572
112	342	567
113	345	563
114	347	558
115	348	553
116	350	547
117	351	542
118	353	537
119	354	532
120	356	528
121	359	524
122	360	519
123	362	514
124	364	509
125	365	505
126	367	500
127	369	496
128	371	491
129	373	488
130	376	485
131	377	480
132	379	476
133	381	472
134	383	468
135	384	463
136	386	459
137	387	455
138	389	451
139	390	446
140	392	442
141	393	438
142	395	434
143	396	429
144	398	426
145	400	421
146	401	417
147	403	414
148	405	410
149	406	406
150	408	403
151	410	399
152	411	395
153	413	391
154	414	388
155	416	384
156	417	380
157	419	376
158	421	374
159	423	370
160	424	366
161	426	363
162	427	359
163	429	356
164	430	352
165	432	349
166	434	345
167	437	343
168	438	339
169	440	336
170	441	333
171	443	329
172	444	326
173	446	323
174	447	319
175	449	316
176	450	313
177	452	310
178	455	307
179	457	304
180	458	301
181	460	298
182	461	295
183	463	292
184	464	288
185	467	286
186	469	283
187	471	280
188	472	277
189	474	274
190	475	271
191	477	268
192	478	265
193	480	262
194	482	259
195	483	256
196	485	253
197	486	250
198	488	247
199	489	244
200	491	242
201	492	239
202	494	236
203	496	233
204	497	230
205	499	228
206	502	225
207	503	222
208	505	220
209	507	217
210	508	214
211	510	211
212	511	208
213	513	206
214	516	204
215	517	201
216	519	198
217	520	195
218	522	193
219	523	190
220	525	187
221	526	185
222	528	182
223	530	179
224	532	177
225	533	174
226	535	172
227	536	169
228	538	166
229	539	164
230	541	161
231	543	159
232	544	156
233	546	154
234	548	151
235	550	149
236	552	146
237	554	144
238	555	141
239	557	139
240	558	136
241	560	134
242	563	132
243	565	129
244	566	127
245	568	124
246	569	122
247	571	119
248	572	117
249	573	114
250	575	112
251	577	109
252	578	107
253	580	105
254	582	102
255	583	100
256	585	97
257	586	95
258	588	93
259	589	90
260	591	88
261	593	86
262	595	83
263	596	81
264	597	78
265	599	76
266	601	74
267	602	71
268	604	69
269	605	67
270	607	65
271	610	62
272	612	60
273	613	58
274	615	55
275	616	53
276	617	51
277	619	49
278	621	46
279	622	44
280	625	42
281	627	40
282	628	37
283	630	35
284	631	33
285	633	31
286	635	28
287	637	26
288	639	24
289	641	22
290	644	19
291	646	17
292	647	15
293	649	13
294	650	11
295	652	8
296	653	6
297	655	4
298	658	2
299	659	0
